"","Adela cuprella","Adia cinerella ","Adscita statices","Alliopsis billbergi","Amauronematus sp1 M_PL_048","Ammophila pubescens","Anarta cordigera","Anarta myrtilli","Anarta sp1 M_PL_047","Anaspis frontalis","Andrena barbilabris","Andrena clarkella","Andrena fucata","Andrena fulva","Andrena fuscipes","Andrena haemorrhoa","Andrena lapponica","Andrena nigroaenea","Andrena praecox","Andrena sp1 M_PL_047","Andrena sp1 M_PL_048","Andrena tarsata","Andrena wilkella","Anoplius sp1 M_PL_047","Anoplius sp1 M_PL_048","Antherophagus nigrocornis","Aphanthopus hyperanthus","Apis mellifera","Aplotarsus incanus","Arge ustulata","Athous subfuscus","Autographa bractea","Barycnemis sp1 M_PL_048","Bellardia vulgaris","Bibio lanigerus","Bibio sp1 M_PL_048","Bombus bohemicus","Bombus cryptarum","Bombus hortorum","Bombus hypnorum","Bombus jonellus","Bombus lapidarius","Bombus lucorum","Bombus muscorum","Bombus pascuorum","Bombus pratorum","Bombus rupestris","Bombus sp1 M_PL_047","Bombus sp2 M_PL_047","Bombus sylvestris","Bombus terrestris","Botanophila fugax","Bruchidius villosus","Calameuta pallipes","Calliopum aeneum","Callophrys rubi","Cantharis figurata","Cantharis nigricans","Cephalops obtusinervis","Cerceris arenaria","Cerceris rybyensis","Cheilosia albipila","Cheilosia albitarsis","Cheilosia bergenstammi","Cheilosia longula","Cheilosia pagana","Cheilosia psilophthalma","Cheilosia urbana","Chrysomela collaris","Chrysomela populi","Chrysotoxum arcuatum","Chrysotoxum bicinctum","Chrysotoxum fasciatum","Clossiana selene","Coenonympha pamphilus","Coenosia femoralis","Coenosia means","Coenosia sp1 M_PL_047","Coenosia tigrina","Colletes cunicularius","Colletes succinctus","Conops flavipes","Conops quadrifasciatus","Crambus lathoniellus","Crossocerus leucostoma","Cylindromyia brassicaria","Cynomya mortuorum","Dalopius marginatus","Dasysyrphus albostriatus","Dasysyrphus tricinctus","Dasytes plumbeus ","Delia diluta","Delia florilega","Dilophus febrilis","Dilophus humeralis","Dolichovespula norwegica","Dolichovespula saxonica","Dolichovespula sp1 M_PL_048","Dolichovespula sylvestris","Ectobius silvestris","Egle brevicornis","Egle minuta","Empis aestiva","Empis caudatula","Empis chioptera","Empis nuntia","Empis sp1 M_PL_047","Empis sp1 M_PL_048","Empis tessellata","Entomophaga nigrohalterata","Epirrhoetristata sp1 M_PL_048","Episyrphus balteatus","Eriothrix rufomaculatus","Eristalinus sepulchralis","Eristalis abusiva","Eristalis arbustorum","Eristalis interrupta","Eristalis intricaria","Eristalis lineata","Eristalis pertinax","Eristalis sp1 M_PL_048","Eristalis tenax","Ernestia rudis","Eumenes pedunculatus","Eupeodes corollae ","Eupeodes nielseni","Formica exsecta","Formica fusca","Formica rufa","Formica sanguinea","Formica transkaucasica","Gonia picea","Gymnosoma nudifrons","Halictus confusus","Halictus rubicundus","Hedychrum nobile","Helina reversio","Helophilus pendulus","Hercostomus sp1 M_PL_047","Hercostomus sp1 M_PL_048","Heterostylodes nominabilis ","Heterostylodes pratensis","Huebneria affinis","Hydrophoria lancifer","Hydrotaea similis","Hylaeus annularis","Hylaeus brevicornis","Hylaeus confusus","Hylaeus sp1 M_PL_047","Hylaeus sp1 M_PL_048","Hypera meles","Inachis io","Lasioglossum albipes","Lasioglossum calceatum","Lasioglossum fratellum","Lasioglossum leucopus","Lasioglossum leucozonium","Lasioglossum punctatissimum","Lasioglossum quadrinotatum","Lasioglossum rufitarse","Lasioglossum sexmaculatum","Lasioglossum sp1 M_PL_047","Lasioglossum sp1 M_PL_048","Lasioglossum villosulum","Lasiomma picipes","Lasius niger","Leptura melanura","Leucozona lucorum","Lucilia bufonivora","Lycaena virgaureae","Lycophotia porphyrea","Lypha dubia","Macropis europaea","Maniola jurtina","Megachile versicolor","Megachile willughbiella","Megasyrphus erraticus","Melanostoma mellinum","Melanotoma mellinum","Meligethes aeneus","Meliscaeva cinctella","Melitta haemorrhoidalis","Mellinus arvensis","Mesapamea didyma","Mesochorus sp1 M_PL_047","Miarus campanulae ","Microgaster sp1 M_PL_047","Microgaster sp1 M_PL_048","Micropterix aruncella","Mimesa equestris","Morellia aenescens","Myrmica ruginodis","Nemophora metallica","Neomyia cornicina","Nomada flava","Nomada leucopthalma","Nomada panzeri","Nomada ruficornis","Nomada rufipes","Nomada sp1 M_PL_047","Oedemera lurida","Orthonerva geniculata","Oscinella vastator","Oxybelus mandibularis","Panurgus banksianus","Paragus haemorrhous","Parasyrphus lineola","Paregle audacula","Phaonia angelicae","Phaonia incana","Phaonia pallida","Phaonia serva","Phasia pusilla","Phyllopertha horticola","Pieris napi","Pieris rapae ","Pipiza lugubris","Pipizella viduata","Platycheirus cyaneus","Platycheirus occultus","Platycheirus peltatus","Platycheirus sp1 M_PL_048","Poecilobothrus nobilitatus","Pollenia angustigena","Pollenia rudis","Polyommatus icarus ","Potosia cuprea","Prosena siberita","Prosternon tessellatum","Pyrgus malvae","Rhagonycha fulva","Rhagonycha limbata","Rhamphomyia nigripennis","Rhamphomyia sp1 M_PL_047","Rhamphomyia sp1 M_PL_048","Rhingia campestris","Rhinophora lepida","Sarcophaga carnaria","Sarcophaga lasiostyla","Sarcophaga sp1 M_PL_047","Sarcophaga sp1 M_PL_048","Sarcophaga subvicina","Scaeva pyrastri","Scaeva selenitica","Scatophaga inquinata","Scatophaga stercoraria","Sciara hemerobioides","Sciara sp1 M_PL_047","Sciara sp1 M_PL_048","Sepsis cynipsea","Sericomyia lappona","Sericomyia silentis","Sicus ferrugineus","Siphona genuculata","Siphona pauciseta","Siphonella oscinina","Sphaerophoria batava","Sphaerophoria menthastri group","Sphaerophoria philanthus","Sphaerophoria scripta","Sphaerophoria sp1 M_PL_047","Sphaerophoria sp1 M_PL_048","Sphaerophoria sp2 M_PL_048","Sphaerophoria virgata","Sphecodes ephippius","Sphecodes geoffrellus","Sphecodes pellucidus","Sphecodes sp1 M_PL_047","Sphecodes sp1 M_PL_048","Syritta pipiens","Syrphus ribesii","Syrphus torvus","Tachina grossa","Thymelicus lineola","Tricholinum sp1 M_PL_047","Tricholinum sp1 M_PL_048","Unidentified sp1 M_PL_047","Unidentified sp1 M_PL_048","Unidentified sp10 M_PL_047","Unidentified sp10 M_PL_048","Unidentified sp11 M_PL_047","Unidentified sp11 M_PL_048","Unidentified sp12 M_PL_047","Unidentified sp12 M_PL_048","Unidentified sp13 M_PL_047","Unidentified sp13 M_PL_048","Unidentified sp14 M_PL_047","Unidentified sp14 M_PL_048","Unidentified sp15 M_PL_047","Unidentified sp15 M_PL_048","Unidentified sp16 M_PL_047","Unidentified sp16 M_PL_048","Unidentified sp17 M_PL_048","Unidentified sp18 M_PL_048","Unidentified sp19 M_PL_048","Unidentified sp2 M_PL_047","Unidentified sp2 M_PL_048","Unidentified sp20 M_PL_048","Unidentified sp21 M_PL_048","Unidentified sp22 M_PL_048","Unidentified sp23 M_PL_048","Unidentified sp24 M_PL_048","Unidentified sp25 M_PL_048","Unidentified sp26 M_PL_048","Unidentified sp27 M_PL_048","Unidentified sp28 M_PL_048","Unidentified sp29 M_PL_048","Unidentified sp3 M_PL_047","Unidentified sp3 M_PL_048","Unidentified sp30 M_PL_048","Unidentified sp4 M_PL_047","Unidentified sp4 M_PL_048","Unidentified sp5 M_PL_047","Unidentified sp5 M_PL_048","Unidentified sp6 M_PL_047","Unidentified sp6 M_PL_048","Unidentified sp7 M_PL_047","Unidentified sp7 M_PL_048","Unidentified sp8 M_PL_047","Unidentified sp8 M_PL_048","Unidentified sp9 M_PL_047","Unidentified sp9 M_PL_048","Vespula rufa","Vespula vulgaris ","Volucella bombylans","Volucella pellucens","Zaira cinerea","Zophomyia temula","Zygaena trifolii"
"Arnica montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Calluna vulgaris",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,1,1,2,2,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,1,2,1,1,2,0,0,1,0,0,1,0,0,1,0,2,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,2,0,1,1,1,1,2,0,2,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,2,1,2,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,2,1,0,0,1
"Campanula rotundifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cytisus scoparius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Empetrum nigrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Epilobium angustifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"Erica tetralix",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,2,1,2,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Galeopsis sp1 M_PL_048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium saxatile",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Genista anglica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
