"","Cantharidae sp.","Cantharidae sp.1","Cantharidae sp.2","Allograpta sp.","Anthomyiidae sp.","Betasyrphus serarius","Bombyliidae sp.4","Bombyliidae sp.5","Bombyliidae sp.6","Lucilia sp.","Lucilia sericata","Calliphoridae sp.","Linnaemya comta","Cheilosia sp.","Cheilosia sp.1","Cheilosia sp.2","Conopidae sp.","Episyrphus balteatus","Eriozona sp.","Eristalinus sp.","Eristalis sp.","Eristalis sp.1","Eupeodes sp.","Helophilus sp.","Megasyrphus sp.","Melanostoma sp.","Melanostoma orientale","Metasyrphus nitens","Muscidae sp.","Musca sp.","Helina sp.","Anthomyiidae sp.1","Helina sp.1","Anthomyiidae sp.2","Paragus sp.","Rhingia binotata","Sarcophagidae sp.","Sarcophagidae sp.1","Sepsidae sp.","Sphaerophoria sp.","Sphaerophoria sp.1","Stratiomyidae sp.","Syrphid sp.","Syrphid sp.1","Syrphid sp.2","Syrphid sp.3","Syrphid sp.4","Syrphid sp.5","Syrphus ribesii","Syrphus sp.","Syrphus sp.1","Tachinidae sp.","Peleteria acutiforceps","Tachinidae sp.1","Exorista sp.","Macquartiini sp.","Meigenia sp.","Graphomya sp.","Calliphoridae sp.1","Tachinidae sp.2","Phasiini sp.","Tephritidae sp.","Volucella sp.","Vesp.idae sp.","Anthidium rubopunctatum","Anthophora sp.","Andrena sp.","Anthophora sp.1","Apis cerana","Apis mellifera","Bombus festivus","Bombus lucorum","Bombus richardsi","Bombus sp.","Bombus trifasciatus","Camponotus compressus","Hylaeus sp.","Halictidae sp.","Halictidae sp.1","Halictidae sp.2","Halictus sp.","Halictus sp.1","Halictus sp.2","Ceratina sp.","Ceratina sp.1","Lasioglossum kryopetrosum","Lasioglossum sp.","Lasioglossum sp.1","Lasioglossum sp.2","Lasioglossum virideglaucum","Argidae sp.","Crambidae sp.","Crambidae sp.1","Danaidae sp.","Lycaenidae sp.","Lycaenidae sp.1","Lycaenidae sp.2","Celastrina sugitanii","Nymphalidae sp.","Pieridae sp.","Pyralidae sp.","Vanessa cardui","Nymphalidae sp.1","Nymphalidae sp.2","Nymphalidae sp.3","Lycaenidae sp.3","Satyrinae sp.","Pieridae sp.1","Pyralidae sp.1","Hypercompe sp.","Pyralidae sp.2","Lasioglossum sp.3","Podalonia sp.","Sphecidae sp.","Dufourea sp.","Andrena nigra","Halictus sp.3","Colletes sp.","Macropis sp.","Scolidae sp.","Ichneumon sp.","Hoplitis sp.","Dufourea sp.1","Dufourea sp.2","Crabronidae sp.","Melitta sp.","Hoplitis sp.1","Andrena sp.1","Halictoides sp.","Coelioxys sp.","Halictoides sp.1","Scarabaeoidea sp.","Scarabaeoidea sp.1","Scarabaeoidea sp.2","Bombus sp.1","Bibionidae sp.","Melanostoma sp.","Helophilus sp.","Melanostoma sp.1","Helophilus sp.1","Cheilosia sp.3","Cheilosia sp.4","Culicidae sp.","Scarabaeoidea sp.3","Bombus sp.2","Bombus sp.3","Bombus sp.4","Exorista sp.1","Muscidae sp.1","Anthomyiidae sp.3","Muscidae sp.2","Bibionidae sp.1","Phasiini sp.1","Compsilura sp.","Phasiini sp.2","Tachinidae sp.3","Muscidae sp.3","Carcelia dubia","Voriini sp.","Halictoides sp.2","Megachile sp.","Halictus sp.4","Bombyliidae sp.1","Bombyliidae sp.2","Bombyliidae sp.3"
"Achillea wilsoniana",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,11,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,32,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Aconitum piepunense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,95,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adenophora capillaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adenophora jasionifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,2,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adenophora khasiana",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrimonia pilosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,12,0,0,0,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ajuga forrestii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,2,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"Allium atrosanguineum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,43,15,147,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allium cyathophorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Allium macranthum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
