,Acmaeoderella adspersula,Agapanthia asphodeli,Amegilla albigena,Amegilla fasciata,Amegilla quadrifasciata,Ammophila heydeni,Ancistrocerus biphaleratus,Ancistrocerus gazella,Ancistrocerus reconditus,Andrena abrupta,Andrena angustior,Andrena carbonaria,Andrena cinerea,Andrena ferrugineicrus,Andrena fertoni,Andrena flavipes,Andrena florea,Andrena hispania,Andrena humilis,Andrena labialis,Andrena morio,Andrena nigroaenaea,Andrena nitidiuscula,Andrena ovatula,Andrena rhyssonota,Andrena sp,Andrena tenuistriata,Andrena thoracica,Andrena vulpecula,Anthaxia morpho1,Anthaxia sp,Anthidiellum strigatum,Anthidium septemspinosum,Anthophora aestivalis,Anthophora atroalba,Anthophora bimaculata,Anthophora dispar,Anthophora hispanica,Anthophora plumipes,Anthophora retusa,Anthophora sp,Apidae NA,Apis mellifera,Arachnospila morpho1,Asilidae NA,Attagenus trifasciatus,Bembecinus carpetanus,Bembix oculata,Bembix sp,Bibio sp,Bibionidae NA,Bombus terrestris,Bombylella atra,Bombylidae morpho1,Bombyliidae NA,Bombylius fimbriatus,Bombylius morpho1,Bombylius morpho2,Bombylius morpho3,Bombylius sp,Bombylius torquatus,Brachycoleus morpho1,Brachycoleus triangularis,Buprestidae NA,Cacyreus marshalli,Calamobius filum,Calliphora sp,Callophrys rubi,Cantharis fusca,Celastrina argiolus,Ceratina callosa,Ceratina cucurbitina,Ceratina mocsaryi,Ceratina sp,Cerceris arenaria,Cerceris morpho1,Cerceris rybyensis,Cerceris sabulosa,Cerocoma schaefferi,Chalicodoma sicula,Chasmatopterus illigeri,Chasmatopterus villosulus,Chasmatopterus zonatus,Chrysomela americana,Chrysura refulgens,Coelioxys sp,Colletes abeillei,Colletes acutus,Colletes ligatus,Colletes nigricans,Colletes sp,Colpa quinquecincta,Conopidae NA,Corynis sp,Cryptocephalus morpho1,Dasypoda albimana,Dasypoda argentata,Dasypoda cingulata,Dasypoda crassicornis,Dasypoda hirtipes,Dasypoda iberica,Dasypoda sp,Dasypoda visnaga,Dasypogon morpho1,Dasypogon sp,Derelomus chamaeropis,Dilophus morpho1,Dischistus morpho1,Dischistus senex,Dolichovespula sp,Empis morpho1,Empis morpho2,Empis sp,Empis tessellata,Empis testacea,Eodynerus posticus,Episyrphus balteatus,Eristalinus megacephalus,Eristalinus taeniops,Eristalis arbustorum,Eristalis morpho1,Eristalis similis,Eristalis sp,Eristalis tenax,Eucera alternans,Eucera bolivari,Eucera caspica,Eucera chrysopyga,Eucera codinai,Eucera collaris,Eucera elongatula,Eucera hispaliensis,Eucera notata,Eucera rufa,Eucera sp,Euchloe crameri,Eumenes coarctatus,Exosoma lusitanicum,Flavipanurgus venustus,Glaucopsyche alexis,Graphosoma lineatum,Halictus quadricinctus,Halictus scabiosae,Halictus tridivisus,Heliotaurus ruficollis,Helophilus sp,Helophilus trivittatus,Heriades crenulatus,Heriades truncorum,Hoplitis adunca,Hoplitis antigae,Hoplitis papaveris,Hoplitis sp,Hoplitis tridentata,Hylaeus variegatus,Ichneumonidae morpho1,Lachnaia tristigmia,Lasiglossum crenicornis,Lasioglossum albocinctum,Lasioglossum bimaculatus,Lasioglossum fulvipes,Lasioglossum gemmeus,Lasioglossum imminutus,Lasioglossum interruptum,Lasioglossum leucozonium,Lasioglossum malachurum,Lasioglossum mediterraneum,Lasioglossum morpho1,Lasioglossum pauxillum,Lasioglossum sexnotatum,Lasioglossum sp,Lasioglossum tridivisus,Leptotes pirithous,Lestica clypeata,Lomatia morpho1,Lucilia sp,Lycaena phlaeas,Machimus sp,Macroglossum stellatarum,Macrophya montana,Malachius abdominalis,Malachius morpho1,Megachile sp,Megalodontes capitalatus,Megalodontes sp,Megascolia maculata,Meloidae NA,Merodon morpho1,Merodon sp,Musca morpho1,Musca sp,Myathropa florea,Mycterus curculioides,Myopa buccata,Nemoptera bipennis,Nemotelus morpho1,Nomada agrestis,Nomada discrepans,Nomada fucata,Nomada melathoracica,Nomada merceti,Nomada sp,Nomada succincta,Opsilia coerulescens,Osmia argyropyga,Osmia aurulenta,Osmia bicornis,Osmia caerulescens,Osmia fulviventris,Osmia latreillei,Osmia leaiana,Osmia rufa,Osmia sp,Osmia submicans,Oxybelus mucronatus,Oxythyrea funesta,Pangonius micans,Panurgus banksianus,Panurgus calcaratus,Panurgus cephalotes,Panurgus dargius,Panurgus perezi,Panurgus sp,Papilio machaon,Parageron morpho1,Parageron sp,Pelecocera tricincta,Philanthus triangulum,Pieris brassicae,Pieris rapae,Platynochaetus setosus,Podalonia tydei,Polistes dominula,Polistes sp,Potosia cuprea,Prionyx kirbii,Protaetia oblonga,Pseudapis diversipes,Pseudoanthidium lituratum,Pseudoanthidium melanorum,Psilothrix viridicoerulea,Pyronia bathseba,Reduviidae NA,Rhodanthidium septendentatum,Rhodanthidium sticticum,Rhyncomyia cuprea,Sarcophaga morpho1,Scolia hortorum,Sphaerophoria scripta,Sphecodes sp,Stomorhina lunata,Strymon sculi,Syritta pipiens,Syrphidae NA,Systoechus morpho1,Systropha planidens,Tabanus morpho1,Tabanus morpho2,Tachysphex denisi,Tachysphex panzeri,Tenthredo corynetes,Tenthredo sp,Thomysus morpho1,Tropinota squalida,Trypoxylon morpho1,Usia morpho1,Usia morpho2,Usia sp,Vanessa atalanta,Vanessa cardui,Vespidae sp,Vespula germanica,Volucella elegans,Xylocopa cantabrita,Xylocopa valga,Xylocopa violacea,Zerynthia rumina
Acacia adealbata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchusa azurea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4,0,3,0
Andryala integrifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arctotheca calendula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armeria velutina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asphodelus fistulosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,54,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0
Astragalus lusitanicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,27,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calendula arvensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carduus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerinthe gymnandra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
